track_name,artists,track_genre,time_signature
O Que Sera (A Flor da Pele),milton nascimento;chico buarque,mpb,3
Bebe / Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),turma do pagode;grupo menos e mais,pagode,3
Olhos Coloridos (Ao Vivo),seu jorge;sandra de sa,mpb,3
Numa Sala de Reboco,luiz gonzaga,mpb,4
Bote o Pe,projeto norte;ane alma,mpb,4
Bota Pra Tocar Tim Maia,diogo nogueira,mpb,4
Carnavalia (Ao Vivo),tribalistas,mpb,4
As Coisas Tao Mais Lindas (Ao Vivo),nando reis,mpb,4
Como Dois Animais,alceu valenca,mpb,3
Dia Branco (Ao Vivo),elba ramalho;geraldo azevedo,mpb,3
Quando Gira o Mundo (Ao Vivo),fabio jr.,mpb,3
Talisma Sem Par,jorge vercillo,mpb,4
Fixacao (Ao Vivo),kid abelha,mpb,4
Lalange,liniker;milton nascimento,mpb,6
Cegos do Castelo,nando reis,mpb,5
Vamos Fazer um Filme,legiao urbana,mpb,1
Deu Pra Ti,kleiton & kledir,mpb,4
Todo Azul do Mar,flavio venturini,mpb,4
So Por um Momento (Ao Vivo),jorge aragao,mpb,5
Meu Universo E Voce (Ao Vivo),roupa nova,mpb,4
Quando Eu Te Encontrar (Ao Vivo),biquini cavadao,mpb,1
Rosa Morena,casuarina;moinho,mpb,1
Minha Filosofia,casuarina,mpb,4
A Cidade,chico science;nacao zumbi,mpb,3
Coracao Pirata,roupa nova,mpb,3
Pavao Mysteriozo,ednardo,mpb,5
Tem Cafe / Uma Historia Assim feat. Gaab (Ao Vivo),turma do pagode;rodriguinho;mr. dan;gaab,pagode,6
Prazer Eu Sou Ferrugem (Ao Vivo),ferrugem,pagode,7
Deixa Eu Te Querer / De Repente o Ceu (Ao Vivo),turma do pagode,pagode,7
Oracao / Atrasadinha,turma do pagode,pagode,6
Flashback (Participacao Especial de Marcos & Belutti) (Ao Vivo),ferrugem;marcos & belutti,pagode,4
Coracao em Desalinho (Ao Vivo),samba de raiz,pagode,5
Baixa Essa Guarda / Shortinho Saint-Tropez / Ponto Final / O Queiroz (Ao Vivo),ferrugem,pagode,3
Coracao na Contramao,zeze di camargo & luciano,sertanejo,6
Interfone feat. Gusttavo Lima (Ao Vivo),diego & victor hugo;gusttavo lima,sertanejo,4
Espinhos na Cama / Aviao das Nove (Ao Vivo em Goiania 2007 - Medley),jorge & mateus,sertanejo,5
Um Degrau na Escada,chico rey & parana,sertanejo,3
Vem Novinha (Ao Vivo),henrique & juliano,sertanejo,3
Vem Buscar o Que E Teu (Live from Tom Brasil Sao Paulo Brazil 2006),inimigos da hp,sertanejo,4
Dona Encrenca,kevi jonny;tierry,forro,3
Agora Estou Sofrendo,calcinha preta;gusttavo lima,forro,4
O Neguinha,aldair playboy,forro,3
Nem Voce Nem Eu,vitor fernandes;nattan,forro,6
Se Mandar um Vem / Saudade Indignada,kevi jonny;priscila senna,forro,5
Roxinho,vitor fernandes;tarcisio do acordeon,forro,3
Se Todos Fossem Iguais a Voce,baden powell,guitar,3
Canto de Ossanha,baden powell,guitar,4
Coisa No 1,baden powell;jimmy pratt,guitar,4
Equilibrio (Ao Vivo) / Ate Falar Chega feat. Matheus & Kauan (Ao Vivo),diego & victor hugo;matheus & kauan,sertanejo,4
Fa de Carteirinha (Sunset Ep. 02 Ao Vivo) / Vai Errar de Novo (Ao Vivo),Pixote,sertanejo,4
